LMT
DE
FDX
ORCL
BLK
F
GM
AMGN
EBAY
CSCO
CMI
JPM
EXC
NKE
ABT
APD
ITW
XOM
GS
GL
CMS
HAL
BMY
PGR
MSFT
INTC
MCD
AAPL
SPY
QQQ
DIA
GLD
