# S&P 500 components
DIS
T
VZ
IPG
PARA
OMC
EA
CMCSA
GOOG
F
MCD
GPC
BBWI
LOW
PHM
HAS
TJX
HD
NKE
DRI
AZO
YUM
MAR
CCL
BBY
SBUX
EBAY
TPR
DHI
LEN
AMZN
MO
ADM
CPB
KO
CL
GIS
HSY
KMB
KR
PEP
PG
CLX
TAP
TGT
WBA
WMT
BF.B
CAG
SYY
K
COST
MKC
STZ
TSN
EL
CVX
COP
XOM
HAL
MRO
OXY
SLB
WMB
HES
APA
DVN
EOG
VLO
HIG
SPGI
JPM
AXP
BAC
WFC
AIG
MMC
PNC
C
GL
MS
KEY
BK
L
ALL
FITB
AON
SCHW
PGR
HBAN
TFC
CINF
NTRS
BEN
COF
MCO
RF
AFL
USB
MET
FI
GS
PFG
PRU
TRV
STT
MTB
AMP
CME
FIS
ABT
BMY
CVS
MRK
PFE
LLY
BAX
BDX
JNJ
CI
RVTY
MDT
AMGN
UNH
BSX
CAH
DHR
MCK
A
SYK
ZBH
COR
WAT
ELV
DGX
BIIB
VTRS
GILD
TMO
LH
MMM
BA
CAT
CSX
DE
ETN
GE
GD
HON
LMT
NSC
NOC
RTX
UNP
CMI
EMR
TXT
FDX
PCAR
ADP
MAS
GWW
SNA
SWK
DOV
PH
ITW
LUV
EFX
WM
PAYX
ROK
CTAS
UPS
IBM
MSI
HPQ
INTC
AAPL
ORCL
ADSK
CSCO
MSFT
MU
GLW
AMAT
ADBE
KLAC
NTAP
QCOM
ADI
INTU
TXN
NVDA
GEN
VRSN
JNPR
CTSH
IP
PPG
SW
SHW
NEM
IFF
BALL
APD
NUE
AVY
ECL
LIN
EMN
VMC
WY
EQR
SPG
PLD
PSA
BXP
KIM
CBRE
AEP
CMS
ED
DTE
EIX
ETR
EXC
PEG
SO
XEL
DUK
NEE
CNP
AEE
FE
AES
PNW
NI
PPL

# US ETFs
SPY
IVV
VOO
VTI
QQQ
VUG
VEA
IEFA
VTV
IWF
IJH
IEMG
VWO
VIG
VGT
IJR
VXUS
XLK
VO
GLD
IWM
ITOT
IWD
IVW
RSP
SCHD
EFA
VYM
VB
QUAL
SCHX
SPLG
XLF
XLV
VEU
SCHF
VT
IXUS
XLE
VV
IWB
IWR
JEPI
DIA
BIL
IVE
SCHG
VNQ
MBB
QQQM
SPYG
SCHB
DFAC
IAU
VGIT
DGRO
VBR
TQQQ
SMH
JPST
USMV
COWZ
MGK
VONG
SPYV
MDY
SPDW
XLY
VGK
IYW
IUSG
XLC
SDY
EEM
VGSH
ACWI
VXF
DVY
USFR
IBIT
XLI
